Unnamed: 0	скидки цены	добрая тема	рецепты	новые релизы	???_1	учёба	???_2	спортивные победы	конкурсы	???_3	конкурсы.1	музыка	???_4	уход за собой	???_5	приюты помощь	???_6	кино	ML и python	???_7	group
6112	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6113	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24108155071735385	0.0	0.3091391324996948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4382733702659607	bad_memes2
6115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5021898746490479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3852374255657196	bad_memes2
6116	0.0	0.0	0.0	0.0	0.21083234250545504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7072354555130005	0.0	0.0	0.0	bad_memes2
6117	0.0	0.0	0.0	0.0	0.0	0.2751653492450714	0.0	0.0	0.6685312986373901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bad_memes2
6118	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6119	0.0	0.2516282796859741	0.0	0.0	0.0	0.0	0.0	0.0	0.2755166292190552	0.0	0.4227437973022461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bad_memes2
6120	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6121	0.0	0.5211339592933655	0.0	0.0	0.0	0.0	0.4259046912193297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bad_memes2
6122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2116070538759232	0.0	0.0	0.0	0.4653672575950623	0.0	0.0	0.0	0.0	0.24569399654865265	bad_memes2
6123	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6124	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8642037510871887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bad_memes2
6126	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6127	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.6833317875862122	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	0.016666745766997337	bad_memes2
6128	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.01000060513615608	0.010000604204833508	0.010000604204833508	0.8099885582923889	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	0.010000604204833508	bad_memes2
6129	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
6130	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	0.05000000074505806	bad_memes2
